id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type,precio_en_miles
YQj2NBep8a1Dr+0WM2bGuw==,Parque Chas,1,1,48,41,100000,Departamento,100
bhZxNlwdcc8cDhfRv/u4Zw==,San Nicolás,1,1,35,26,60000,Departamento,60
esb7SI++faJd2cMMSOqTLw==,Constitución,1,1,17,17,29000,Departamento,29
Fi1gMqLClbe2ZOga7jLnvg==,Puerto Madero,1,1,58,46,187000,Departamento,187
TTslM+w0BtwF52nnPk6S0Q==,Nuñez,2,1,148,55,179000,PH,179
4pM9hRgvzWL86lYIZrPCbw==,Palermo,2,1,36,31,98500,PH,98
0oZkp3CD3Ydefo91WlQtFA==,Almagro,2,1,42,42,79000,Departamento,79
mr0Jd9BFX5A0psE83Vo2CQ==,Almagro,1,1,22,22,38000,Departamento,38
rWns87fgua0K0Hp7iEye3w==,Almagro,1,1,22,22,55000,Departamento,55
I4gx98s4hKrATueRUAk/Lg==,Almagro,2,1,45,40,105000,Departamento,105
n7Sy1NFud84GrJPKsp7zag==,Almagro,2,1,40,38,89000,Departamento,89
idfKZhgn9WSHcsft/Hhq4g==,Coghlan,2,1,31,30,79900,Departamento,80
pZGh9pJUvZHgUdR4EjvFhg==,Palermo,2,1,81,64,200000,Departamento,200
oBi7H8n5JyLbQNh/O+YwPQ==,Belgrano,2,1,30,30,56900,Departamento,57
K4tQXrIlN9TIuP3rCYoe4A==,Belgrano,2,1,38,38,82000,Departamento,82
uBChjtQAS/rYzj+l90nBig==,Belgrano,2,1,85,75,215000,Departamento,215
izFWp4R1xJS/EyPd5zar3g==,Congreso,2,1,57,57,109000,Departamento,109
xYC9H+Ohsn4galj5zsx5FQ==,Paternal,2,1,43,41,93500,Departamento,94
d0CsQAMFqEtCuRpsqeN1ug==,Recoleta,2,1,46,46,115000,Departamento,115
tIiqgTO362DGQLSDncKiIw==,Saavedra,2,1,47,42,105000,Departamento,105
Xy0vWqBe3PlgVwO+bRapcQ==,Saavedra,2,1,58,42,98000,Departamento,98
mZGF5aj/nt7wyemCwkjpZw==,Caballito,2,1,36,36,72000,Departamento,72
